Gộp lịch csv Subject,Start Date,Start Time,End Date,End Time,Description,Location
Thực hành MongoDB: Tối ưu dữ liệu dự án,2025-01-24,19:00,2025-01-24,21:00,Cải thiện hiệu suất dữ liệu của dự án fullstack,https://www.mongodb.com/
Dự án lớn: Hệ thống quản lý khách hàng (CRM),2025-01-27,19:00,2025-02-10,21:00,Xây dựng hệ thống CRM với fullstack (React, Node.js, MongoDB),https://www.fullstackopen.com/
Git: Quản lý mã nguồn nâng cao,2025-02-12,19:00,2025-02-12,21:00,Học cách sử dụng Git branching và làm việc nhóm,https://git-scm.com/
Docker: Triển khai ứng dụng,2025-02-13,19:00,2025-02-13,21:00,Học cách container hóa ứng dụng bằng Docker,https://www.docker.com/
Thực hành Docker: Container hóa CRM,2025-02-14,19:00,2025-02-14,21:00,Triển khai hệ thống CRM lên Docker,https://www.docker.com/
Dự án triển khai: Website bán hàng,2025-02-17,19:00,2025-02-28,21:00,Xây dựng và triển khai website bán hàng sử dụng React và Node.js,https://www.fullstackopen.com/
React Native: Tối ưu hiệu suất ứng dụng,2025-03-01,19:00,2025-03-01,21:00,Học cách tối ưu ứng dụng React Native,https://reactnative.dev/
Thực hành React Native: Tối ưu hóa hiệu suất,2025-03-02,19:00,2025-03-02,21:00,Áp dụng tối ưu vào ứng dụng quản lý công việc,https://reactnative.dev/
Dự án cuối khóa: Ứng dụng thương mại điện tử,2025-03-05,19:00,2025-03-31,21:00,Xây dựng ứng dụng thương mại điện tử đa nền tảng (web + app),https://reactjs.org/
Node.js: Tối ưu hóa API,2025-04-01,19:00,2025-04-01,21:00,Học cách tối ưu hóa và bảo mật API trong Node.js,https://nodejs.org/
Thực hành Node.js: Cải thiện hiệu suất API,2025-04-02,19:00,2025-04-02,21:00,Xây dựng API hiệu quả hơn với Node.js,https://nodejs.org/
React: Quản lý form và validation,2025-04-05,19:00,2025-04-05,21:00,Học cách quản lý form và validation trong React,https://reactjs.org/
Thực hành React: Quản lý form,2025-04-06,19:00,2025-04-06,21:00,Xây dựng ứng dụng với form và validation,https://reactjs.org/
MongoDB: Cải thiện độ tin cậy và bảo mật,2025-04-08,19:00,2025-04-08,21:00,Học cách đảm bảo bảo mật và sao lưu dữ liệu trong MongoDB,https://www.mongodb.com/
Thực hành MongoDB: Bảo mật và sao lưu,2025-04-09,19:00,2025-04-09,21:00,Triển khai bảo mật và sao lưu dữ liệu,https://www.mongodb.com/
Git: Làm việc nhóm và quản lý xung đột,2025-04-12,19:00,2025-04-12,21:00,Học cách làm việc nhóm hiệu quả với Git,https://git-scm.com/
Docker: Tối ưu hóa ứng dụng trong Docker,2025-04-13,19:00,2025-04-13,21:00,Học cách tối ưu hóa ứng dụng chạy trong Docker,https://www.docker.com/
Dự án triển khai: Website bán hàng nâng cao,2025-04-15,19:00,2025-04-30,21:00,Xây dựng và triển khai website bán hàng phức tạp sử dụng React và Node.js,https://www.fullstackopen.com/
Subject,Start Date,Start Time,End Date,End Time,Description,Location
React Native: Quản lý dữ liệu với Firebase,2025-05-01,19:00,2025-05-01,21:00,Học cách tích hợp Firebase vào React Native,https://firebase.google.com/docs
Thực hành React Native: Ứng dụng với Firebase,2025-05-02,19:00,2025-05-02,21:00,Xây dựng ứng dụng quản lý dữ liệu với Firebase,https://firebase.google.com/docs
Dự án cuối khóa: Hệ thống quản lý doanh nghiệp,2025-05-05,19:00,2025-05-20,21:00,Xây dựng hệ thống quản lý doanh nghiệp với React, Node.js và MongoDB,https://www.fullstackopen.com/
Node.js: Xử lý bất đồng bộ và Promises,2025-05-07,19:00,2025-05-07,21:00,Học cách xử lý bất đồng bộ trong Node.js với Promises và async/await,https://nodejs.org/
Thực hành Node.js: Quản lý bất đồng bộ trong API,2025-05-08,19:00,2025-05-08,21:00,Áp dụng bất đồng bộ và Promises trong API với Node.js,https://nodejs.org/
MongoDB: Quản lý dữ liệu quan hệ,2025-05-09,19:00,2025-05-09,21:00,Học cách sử dụng MongoDB cho các dữ liệu quan hệ,https://www.mongodb.com/
Thực hành MongoDB: Xử lý dữ liệu quan hệ trong API,2025-05-10,19:00,2025-05-10,21:00,Xử lý dữ liệu quan hệ trong API Node.js với MongoDB,https://www.mongodb.com/
React: Quản lý routing và navigation,2025-05-11,19:00,2025-05-11,21:00,Học cách sử dụng React Router để quản lý navigation,https://reactrouter.com/
Thực hành React: Navigation cho ứng dụng,2025-05-12,19:00,2025-05-12,21:00,Tạo một ứng dụng React với React Router để quản lý các tuyến đường,https://reactrouter.com/
Docker: Tối ưu hoá Docker cho môi trường sản xuất,2025-05-13,19:00,2025-05-13,21:00,Học cách tối ưu hóa Docker khi triển khai trong môi trường sản xuất,https://www.docker.com/
Thực hành Docker: Triển khai Docker lên AWS,2025-05-14,19:00,2025-05-14,21:00,Xây dựng và triển khai ứng dụng Docker lên AWS,https://www.docker.com/
Dự án triển khai: Ứng dụng bán hàng toàn diện,2025-05-15,19:00,2025-06-01,21:00,Xây dựng và triển khai ứng dụng bán hàng toàn diện sử dụng React, Node.js, MongoDB và Docker,https://www.fullstackopen.com/
Node.js: Quản lý phiên người dùng và xác thực,2025-06-02,19:00,2025-06-02,21:00,Học cách quản lý phiên người dùng và xác thực trong Node.js,https://nodejs.org/
Thực hành Node.js: Xác thực người dùng,2025-06-03,19:00,2025-06-03,21:00,Xây dựng tính năng xác thực và quản lý phiên người dùng trong API,https://nodejs.org/
MongoDB: Quản lý dữ liệu phân tán,2025-06-04,19:00,2025-06-04,21:00,Học cách sử dụng MongoDB cho các hệ thống dữ liệu phân tán,https://www.mongodb.com/
Thực hành MongoDB: Quản lý dữ liệu phân tán,2025-06-05,19:00,2025-06-05,21:00,Xử lý và tối ưu dữ liệu phân tán trong MongoDB,https://www.mongodb.com/
React: Quản lý hiệu suất và tối ưu hóa,2025-06-06,19:00,2025-06-06,21:00,Học cách tối ưu hóa hiệu suất trong React,https://reactjs.org/
Thực hành React: Tối ưu hiệu suất ứng dụng,2025-06-07,19:00,2025-06-07,21:00,Tối ưu hiệu suất cho ứng dụng React,https://reactjs.org/
Docker: Tích hợp Docker với CI/CD,2025-06-08,19:00,2025-06-08,21:00,Học cách tích hợp Docker vào pipeline CI/CD,https://www.docker.com/
Thực hành Docker: CI/CD với Docker,2025-06-09,19:00,2025-06-09,21:00,Tạo pipeline CI/CD cho ứng dụng Docker,https://www.docker.com/
Dự án triển khai: Hệ thống quản lý học sinh,2025-06-10,19:00,2025-06-30,21:00,Xây dựng hệ thống quản lý học sinh sử dụng React, Node.js, MongoDB, Docker và CI/CD,https://www.fullstackopen.com/
React Native: Quản lý dữ liệu thời gian thực với WebSocket,2025-07-01,19:00,2025-07-01,21:00,Học cách sử dụng WebSocket để quản lý dữ liệu thời gian thực trong React Native,https://reactnative.dev/
Thực hành React Native: Ứng dụng chat với WebSocket,2025-07-02,19:00,2025-07-02,21:00,Xây dựng ứng dụng chat thời gian thực sử dụng WebSocket,https://reactnative.dev/
Node.js: Quản lý dữ liệu lớn,2025-07-03,19:00,2025-07-03,21:00,Học cách xử lý và quản lý dữ liệu lớn trong Node.js,https://nodejs.org/
Thực hành Node.js: Quản lý dữ liệu lớn,2025-07-04,19:00,2025-07-04,21:00,Xây dựng ứng dụng Node.js để quản lý và xử lý dữ liệu lớn,https://nodejs.org/
MongoDB: Cải thiện khả năng mở rộng và bảo mật,2025-07-05,19:00,2025-07-05,21:00,Học cách cải thiện khả năng mở rộng và bảo mật trong MongoDB,https://www.mongodb.com/
Thực hành MongoDB: Bảo mật và mở rộng,2025-07-06,19:00,2025-07-06,21:00,Áp dụng bảo mật và tối ưu khả năng mở rộng trong MongoDB,https://www.mongodb.com/
React: Server-side rendering (SSR),2025-07-07,19:00,2025-07-07,21:00,Học cách triển khai server-side rendering trong React,https://reactjs.org/
Thực hành React: SSR cho ứng dụng blog,2025-07-08,19:00,2025-07-08,21:00,Xây dựng ứng dụng blog với server-side rendering trong React,https://reactjs.org/
Docker: Quản lý môi trường phát triển và sản xuất,2025-07-09,19:00,2025-07-09,21:00,Học cách quản lý môi trường phát triển và sản xuất với Docker,https://www.docker.com/
Thực hành Docker: Triển khai môi trường Docker cho ứng dụng,2025-07-10,19:00,2025-07-10,21:00,Tạo và triển khai môi trường Docker cho ứng dụng,https://www.docker.com/
Dự án cuối khóa: Ứng dụng quản lý công việc và thời gian,2025-07-11,19:00,2025-07-25,21:00,Xây dựng ứng dụng quản lý công việc và thời gian với React, Node.js, MongoDB, Docker, https://www.fullstackopen.com/
Dự án cuối khóa: Ứng dụng quản lý công việc và thời gian (Tiếp tục),2025-07-12,19:00,2025-07-12,21:00,Tiếp tục xây dựng ứng dụng quản lý công việc và thời gian với React, Node.js, MongoDB, Docker,https://www.fullstackopen.com/
Dự án cuối khóa: Kiểm thử và tối ưu hiệu suất ứng dụng,2025-07-13,19:00,2025-07-13,21:00,Kiểm thử và tối ưu hiệu suất cho ứng dụng quản lý công việc và thời gian,https://jestjs.io/
Dự án cuối khóa: Bảo mật ứng dụng và bảo vệ dữ liệu,2025-07-14,19:00,2025-07-14,21:00,Học cách bảo mật ứng dụng và bảo vệ dữ liệu trong quá trình phát triển,https://expressjs.com/
Dự án cuối khóa: Tích hợp API bên ngoài vào ứng dụng,2025-07-15,19:00,2025-07-15,21:00,Tích hợp các API bên ngoài như Google Calendar, Slack vào ứng dụng,https://www.google.com/intl/vi/calendar/
Thực hành: Tích hợp hệ thống thông báo push,2025-07-16,19:00,2025-07-16,21:00,Học cách tích hợp thông báo push trong ứng dụng React Native,https://firebase.google.com/
Thực hành: Triển khai ứng dụng lên sản phẩm,2025-07-17,19:00,2025-07-17,21:00,Học cách triển khai ứng dụng lên môi trường sản xuất và App Store/Play Store,https://reactnative.dev/docs/publishing-to-app-store
Thực hành: Đánh giá và cải thiện UX/UI của ứng dụng,2025-07-18,19:00,2025-07-18,21:00,Xem xét và cải thiện trải nghiệm người dùng và giao diện ứng dụng,https://www.figma.com/
Hoàn thiện dự án cuối khóa: Ứng dụng quản lý công việc và thời gian,2025-07-19,19:00,2025-07-19,21:00,Hội nhập toàn bộ kiến thức học được để hoàn thiện dự án cuối khóa,https://www.fullstackopen.com/
Bảo vệ dự án cuối khóa: Thuyết trình và giải đáp,2025-07-20,19:00,2025-07-20,21:00,Thuyết trình và trả lời câu hỏi về dự án cuối khóa,https://www.fullstackopen.com/
Thực hành: Thiết kế và phát triển API cho ứng dụng,2025-07-21,19:00,2025-07-21,21:00,Học cách thiết kế và phát triển API cho ứng dụng,https://expressjs.com/
Thực hành: Cải thiện hiệu suất backend,2025-07-22,19:00,2025-07-22,21:00,Tối ưu hóa hiệu suất của backend, học cách sử dụng caching và tăng tốc API,https://redis.io/
Thực hành: Triển khai và quản lý cơ sở dữ liệu trên cloud,2025-07-23,19:00,2025-07-23,21:00,Học cách triển khai và quản lý cơ sở dữ liệu trên dịch vụ cloud,https://cloud.google.com/
Thực hành: Triển khai hệ thống CI/CD cho dự án,2025-07-24,19:00,2025-07-24,21:00,Thiết lập và triển khai hệ thống CI/CD để tự động hoá quá trình build và deploy,https://circleci.com/
Dự án cuối khóa: Hỗ trợ và bảo trì ứng dụng sau khi triển khai,2025-07-25,19:00,2025-07-25,21:00,Học cách bảo trì và hỗ trợ ứng dụng sau khi triển khai sản phẩm ra thị trường,https://www.heroku.com/
Dự án cuối khóa: Thu thập phản hồi người dùng và cải tiến sản phẩm,2025-07-26,19:00,2025-07-26,21:00,Học cách thu thập phản hồi người dùng và cải tiến ứng dụng,https://www.surveymonkey.com/
Thực hành: Cập nhật và bảo mật hệ thống,2025-07-27,19:00,2025-07-27,21:00,Cập nhật và duy trì hệ thống bảo mật cho ứng dụng,https://owasp.org/
Thực hành: Phân tích và cải thiện codebase,2025-07-28,19:00,2025-07-28,21:00,Học cách phân tích và cải thiện chất lượng mã nguồn,https://eslint.org/
Kết thúc khóa học: Đánh giá và phản hồi,2025-07-29,19:00,2025-07-29,21:00,Đánh giá quá trình học, nhận phản hồi và hướng dẫn bước tiếp theo trong sự nghiệp phát triển phần mềm,https://www.linkedin.com/learning/
Thực hành: Làm việc với các công cụ phân tích và báo cáo,2025-07-30,19:00,2025-07-30,21:00,Học cách sử dụng các công cụ phân tích và tạo báo cáo về hiệu suất hệ thống và hành vi người dùng,https://www.google.com/analytics/
Thực hành: Tạo và triển khai các bản vá lỗi bảo mật,2025-07-31,19:00,2025-07-31,21:00,Thực hành việc tạo và triển khai các bản vá bảo mật để đảm bảo an toàn cho ứng dụng,https://www.acs.com/
Thực hành: Hướng dẫn tạo các API RESTful hiệu quả,2025-08-01,19:00,2025-08-01,21:00,Thiết kế và phát triển API RESTful mạnh mẽ và dễ sử dụng cho ứng dụng,https://swagger.io/
Thực hành: Tích hợp các dịch vụ bên ngoài vào ứng dụng,2025-08-02,19:00,2025-08-02,21:00,Học cách tích hợp các API của bên thứ ba vào ứng dụng của bạn,https://rapidapi.com/
Dự án thực tế: Xây dựng ứng dụng quản lý dữ liệu,2025-08-03,19:00,2025-08-03,21:00,Xây dựng một ứng dụng backend quản lý dữ liệu từ đầu đến cuối, bao gồm API, cơ sở dữ liệu và bảo mật,https://www.mongodb.com/
Thực hành: Tối ưu hóa mã nguồn cho hiệu suất cao,2025-08-04,19:00,2025-08-04,21:00,Chuyên sâu vào tối ưu hóa mã nguồn để ứng dụng vận hành nhanh và hiệu quả,https://developer.mozilla.org/en-US/docs/Web/JavaScript/Guide/Performance
Thực hành: Thực hiện kiểm thử bảo mật,2025-08-05,19:00,2025-08-05,21:00,Kiểm thử bảo mật ứng dụng bằng cách tìm kiếm các lỗ hổng và khắc phục chúng,https://www.kali.org/
Thực hành: Triển khai ứng dụng lên môi trường sản xuất,2025-08-06,19:00,2025-08-06,21:00,Quá trình triển khai ứng dụng lên môi trường sản xuất, bao gồm cả cấu hình và tối ưu hệ thống,https://www.docker.com/
Thực hành: Quản lý tài nguyên hệ thống và tối ưu chi phí,2025-08-07,19:00,2025-08-07,21:00,Học cách quản lý tài nguyên hệ thống và tối ưu chi phí vận hành,https://aws.amazon.com/
Thực hành: Tạo báo cáo và trình bày kết quả dự án,2025-08-08,19:00,2025-08-08,21:00,Học cách tạo báo cáo tổng kết dự án và trình bày kết quả một cách chuyên nghiệp,https://www.canva.com/
Dự án cuối khóa: Triển khai và bảo trì ứng dụng,2025-08-09,19:00,2025-08-09,21:00,Hoàn thiện và triển khai ứng dụng cuối cùng của bạn, bao gồm bảo trì và cải tiến liên tục,https://www.heroku.com/
Dự án thực tế: Xây dựng hệ thống quản lý người dùng,2025-08-10,19:00,2025-08-10,21:00,Xây dựng hệ thống quản lý người dùng với các tính năng như đăng ký, đăng nhập, và phân quyền,https://www.firebase.com/
Thực hành: Tạo và quản lý cơ sở dữ liệu quan hệ,2025-08-11,19:00,2025-08-11,21:00,Học cách thiết kế và tối ưu hóa cơ sở dữ liệu quan hệ cho ứng dụng backend,https://www.postgresql.org/
Thực hành: Tối ưu hóa API cho hiệu suất,2025-08-12,19:00,2025-08-12,21:00,Áp dụng các phương pháp tối ưu hóa API như caching, pagination, và batching,https://redis.io/
Thực hành: Kiểm thử chức năng và hiệu suất,2025-08-13,19:00,2025-08-13,21:00,Học cách kiểm thử ứng dụng về mặt chức năng và hiệu suất để đảm bảo chất lượng,https://www.jestjs.io/
Thực hành: Phát triển ứng dụng đa nền tảng,2025-08-14,19:00,2025-08-14,21:00,Phát triển ứng dụng backend có thể chạy trên nhiều nền tảng khác nhau,https://www.reactjs.org/
Thực hành: Tích hợp dịch vụ thanh toán,2025-08-15,19:00,2025-08-15,21:00,Tích hợp hệ thống thanh toán trực tuyến vào ứng dụng của bạn,https://www.stripe.com/
Thực hành: Phát triển hệ thống báo cáo và thống kê,2025-08-16,19:00,2025-08-16,21:00,Phát triển hệ thống báo cáo và phân tích dữ liệu cho ứng dụng của bạn,https://www.metabase.com/
Thực hành: Quản lý và bảo mật thông tin nhạy cảm,2025-08-17,19:00,2025-08-17,21:00,Học các phương pháp bảo mật thông tin nhạy cảm trong ứng dụng backend,https://www.hashicorp.com/
Thực hành: Quản lý phiên bản và quy trình CI/CD,2025-08-18,19:00,2025-08-18,21:00,Học cách sử dụng Git và các công cụ CI/CD để tự động hóa quy trình phát triển và triển khai,https://www.jenkins.io/
Thực hành: Quản lý và triển khai container,2025-08-19,19:00,2025-08-19,21:00,Học cách sử dụng Docker và Kubernetes để triển khai và quản lý ứng dụng trong container,https://www.docker.com/
Dự án cuối khóa: Triển khai hệ thống thực tế,2025-08-20,19:00,2025-08-20,21:00,Xây dựng và triển khai hệ thống backend thực tế từ đầu đến cuối,https://www.heroku.com/
Thực hành: Tối ưu hóa cơ sở dữ liệu và cấu trúc ứng dụng,2025-08-21,19:00,2025-08-21,21:00,Học cách tối ưu hóa cơ sở dữ liệu và cấu trúc ứng dụng backend để tăng hiệu suất,https://www.mongodb.com/
Thực hành: Tạo API RESTful,2025-08-22,19:00,2025-08-22,21:00,Học cách tạo và triển khai API RESTful cho ứng dụng backend của bạn,https://expressjs.com/
Thực hành: Tích hợp WebSocket cho giao tiếp thời gian thực,2025-08-23,19:00,2025-08-23,21:00,Học cách sử dụng WebSocket để tạo các ứng dụng giao tiếp thời gian thực,https://socket.io/
Dự án thực tế: Xây dựng ứng dụng quản lý doanh nghiệp,2025-08-24,19:00,2025-08-24,21:00,Xây dựng hệ thống backend cho ứng dụng quản lý doanh nghiệp, bao gồm quản lý nhân viên, dự án và tài chính,https://www.django-rest-framework.org/
Thực hành: Quản lý người dùng và phân quyền,2025-08-25,19:00,2025-08-25,21:00,Học cách xây dựng hệ thống phân quyền người dùng trong ứng dụng backend,https://www.passportjs.org/
Thực hành: Xử lý tác vụ bất đồng bộ và queue,2025-08-26,19:00,2025-08-26,21:00,Học cách xử lý tác vụ bất đồng bộ và sử dụng queue trong backend,https://www.zeromq.org/
Thực hành: Tạo hệ thống thông báo (Push Notification),2025-08-27,19:00,2025-08-27,21:00,Học cách tích hợp hệ thống thông báo Push Notification vào ứng dụng backend của bạn,https://firebase.google.com/docs/cloud-messaging
Thực hành: Tối ưu hóa hiệu suất ứng dụng backend,2025-08-28,19:00,2025-08-28,21:00,Học cách tối ưu hóa hiệu suất của ứng dụng backend để giảm thiểu độ trễ và tải,https://www.newrelic.com/
Dự án thực tế: Xây dựng hệ thống giám sát và báo cáo lỗi,2025-08-29,19:00,2025-08-29,21:00,Xây dựng hệ thống giám sát và báo cáo lỗi trong ứng dụng backend để theo dõi và khắc phục sự cố,https://www.sentry.io/
Thực hành: Quản lý và bảo mật API,2025-08-30,19:00,2025-08-30,21:00,Học cách bảo mật API và quản lý quyền truy cập trong các ứng dụng backend,https://jwt.io/
Thực hành: Quản lý cấu hình môi trường và deployment,2025-08-31,19:00,2025-08-31,21:00,Học cách quản lý cấu hình môi trường và triển khai ứng dụng backend vào môi trường sản xuất,https://www.docker.com/
Dự án thực tế: Triển khai ứng dụng backend lên AWS,2025-09-01,19:00,2025-09-01,21:00,Học cách triển khai ứng dụng backend lên AWS EC2 và sử dụng RDS cho cơ sở dữ liệu,https://aws.amazon.com/
Thực hành: Quản lý phiên bản và mã nguồn với Git,2025-09-02,19:00,2025-09-02,21:00,Học cách sử dụng Git để quản lý mã nguồn, phân nhánh và phối hợp làm việc nhóm,https://git-scm.com/
Thực hành: Sử dụng CI/CD trong phát triển backend,2025-09-03,19:00,2025-09-03,21:00,Học cách thiết lập CI/CD để tự động hóa quá trình kiểm tra và triển khai ứng dụng backend,https://www.jenkins.io/
Thực hành: Đảm bảo chất lượng mã nguồn với Unit Test,2025-09-04,19:00,2025-09-04,21:00,Học cách viết và triển khai Unit Test cho mã nguồn backend để đảm bảo tính đúng đắn của hệ thống,https://jestjs.io/
Dự án thực tế: Xây dựng hệ thống thanh toán trực tuyến,2025-09-05,19:00,2025-09-05,21:00,Xây dựng hệ thống thanh toán trực tuyến cho ứng dụng, bao gồm tích hợp cổng thanh toán,https://stripe.com/docs
Thực hành: Sử dụng GraphQL thay vì RESTful API,2025-09-06,19:00,2025-09-06,21:00,Học cách sử dụng GraphQL để thay thế cho RESTful API trong các ứng dụng backend,https://graphql.org/
Thực hành: Đảm bảo tính bảo mật của hệ thống backend,2025-09-07,19:00,2025-09-07,21:00,Học cách bảo mật hệ thống backend để bảo vệ dữ liệu và chống lại các cuộc tấn công,https://owasp.org/
Thực hành: Quản lý và phân tích logs,2025-09-08,19:00,2025-09-08,21:00,Học cách sử dụng các công cụ phân tích logs để theo dõi hoạt động của ứng dụng và phát hiện lỗi,https://www.elastic.co/what-is/elk-stack
Dự án thực tế: Xây dựng hệ thống e-commerce,2025-09-09,19:00,2025-09-09,21:00,Xây dựng ứng dụng e-commerce từ backend, bao gồm quản lý sản phẩm, đơn hàng và thanh toán,https://www.shopify.com/
Thực hành: Xây dựng hệ thống chat real-time với WebSocket,2025-09-10,19:00,2025-09-10,21:00,Học cách sử dụng WebSocket để xây dựng ứng dụng chat real-time trong backend,https://socket.io/
Thực hành: Triển khai hệ thống microservices,2025-09-11,19:00,2025-09-11,21:00,Học cách chia hệ thống backend thành các microservices độc lập và triển khai chúng,https://microservices.io/
Dự án thực tế: Tối ưu hiệu suất backend với caching,2025-09-12,19:00,2025-09-12,21:00,Học cách tối ưu hiệu suất ứng dụng backend bằng caching sử dụng Redis,https://redis.io/
Thực hành: Quản lý cơ sở dữ liệu NoSQL,2025-09-13,19:00,2025-09-13,21:00,Học cách sử dụng cơ sở dữ liệu NoSQL (MongoDB) cho các ứng dụng backend,https://www.mongodb.com/
Dự án thực tế: Xây dựng hệ thống blog với CMS backend,2025-09-14,19:00,2025-09-14,21:00,Xây dựng hệ thống blog với CMS backend cho phép quản lý bài viết và người dùng,https://strapi.io/
Thực hành: Quản lý người dùng và phân quyền,2025-09-15,19:00,2025-09-15,21:00,Học cách triển khai hệ thống phân quyền người dùng trong ứng dụng backend,https://jwt.io/
Thực hành: Quản lý dịch vụ email trong ứng dụng backend,2025-09-16,19:00,2025-09-16,21:00,Học cách gửi email trong ứng dụng backend với các dịch vụ như SendGrid,https://sendgrid.com/
Thực hành: Xây dựng hệ thống RESTful API với Node.js,2025-09-17,19:00,2025-09-17,21:00,Học cách xây dựng hệ thống RESTful API từ đầu với Node.js và Express,https://expressjs.com/
